"title","amount","department","detail","views","city","date"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","44 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 500
                        ","Commercial Tax, Sales Tax, VAT","C Form","52 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Paid INR 800
                        ","Police","Police Harassment","61 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Paid INR 500
                        ","Police","Filing FIR","47 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Paid INR 800
                        ","Police","Police Harassment","46 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 500
                        ","Commercial Tax, Sales Tax, VAT","C Form","45 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","New Domestic Driving License","55 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Passport in Bangalore.
                    ","Paid INR 800
                        ","Passport","New Passport Application","78 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 436 to Transport in Puri.
                    ","Paid INR 436
                        ","Transport","Registration of Vehicle","60 views","Puri
                      , Orissa","October 12, 2015"
"
                      I Paid Rs. 384 to Police in Pedana.
                    ","Paid INR 384
                        ","Police","Traffic Violations","49 views","Pedana
                      , Andhra Pradesh","October 12, 2015"
"
                      I Paid Rs. 294 to Police in Murliganj.
                    ","Paid INR 294
                        ","Police","Filing FIR","48 views","Murliganj
                      , Bihar","October 12, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","43 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Marriage Certificate","57 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Paid INR 800
                        ","Police","Police Harassment","49 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 432 to Police in Madhepura.
                    ","Paid INR 432
                        ","Police","Filing FIR","49 views","Madhepura
                      , Bihar","October 12, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","41 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Passport in Bangalore.
                    ","Paid INR 800
                        ","Passport","New Passport Application","54 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Paid INR 800
                        ","Police","Police Harassment","44 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 500
                        ","Commercial Tax, Sales Tax, VAT","C Form","46 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1200 to Police in Bangalore.
                    ","Paid INR 1,200
                        ","Police","Traffic Violations","38 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 936 to Stamps and Registration in Raurkela.
                    ","Paid INR 936
                        ","Stamps and Registration","Registration of Property","59 views","Raurkela
                      , Orissa","October 12, 2015"
"
                      I Paid Rs. 20000 to Transport in Bangalore.
                    ","Paid INR 20,000
                        ","Transport","Registration of Vehicle","46 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","48 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 500
                        ","Commercial Tax, Sales Tax, VAT","C Form","44 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 800 to Police in Bangalore.
                    ","Paid INR 800
                        ","Police","Filing FIR","41 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1500 to Transport in Bangalore.
                    ","Paid INR 1,500
                        ","Transport","Registration of Vehicle","46 views","Bangalore
                      , Karnataka","October 12, 2015"
